Name,ApiName,IsCustom,Description,IngestedBy,PopulatedBy,CreatedBy,CreatedDate,LastModifiedBy,LastModifiedDate,Owners,Stakeholders,IsFollowing,Definition,Notes,ManagedPackage,RawSalesforceId,SourceUrl
Data Share Target Feed,ExtDataShareTargetFeed,False,,Fivetran Data Loader,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ExtDataShareTargetFeed/Details/view
Data Share Target History,ExtDataShareTargetHistory,False,,Fivetran Data Loader,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ExtDataShareTargetHistory/Details/view
Data Share Target Share,ExtDataShareTargetShare,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ExtDataShareTargetShare/Details/view
External AI Model,ExternalAIModel,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ExternalAIModel/Details/view
External Client App,ExternalClientApplication,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ExternalClientApplication/Details/view
External Data Source,ExternalDataSource,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ExternalDataSource/Details/view
External Data Source Descriptor,ExternalDataSrcDescriptor,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ExternalDataSrcDescriptor/Details/view
External Data User Authentication,ExternalDataUserAuth,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ExternalDataUserAuth/Details/view
External Event,ExternalEvent,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ExternalEvent/Details/view
External Event Mapping,ExternalEventMapping,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ExternalEventMapping/Details/view
External Event Mapping Share,ExternalEventMappingShare,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ExternalEventMappingShare/Details/view
Managed Social Account,ExternalSocialAccount,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ExternalSocialAccount/Details/view
External Source Status Event,ExternalSourceStatusEvent,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ExternalSourceStatusEvent/Details/view
External Client Application OAuth Consumer,ExtlClntAppOauthConsumer,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ExtlClntAppOauthConsumer/Details/view
External Client App OAuth IP Range,ExtlClntAppOauthIpRange,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ExtlClntAppOauthIpRange/Details/view
External Client App OAuth Policies Custom Attribute,ExtlClntAppOauthPlcyAttr,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ExtlClntAppOauthPlcyAttr/Details/view
External Client App OAuth Policy Config,ExtlClntAppOauthPlcyCnfg,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ExtlClntAppOauthPlcyCnfg/Details/view
External Client App OAuth Policies Custom Scope,ExtlClntAppOauthPlcyCustmScp,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ExtlClntAppOauthPlcyCustmScp/Details/view
External Client App OAuth Settings Custom Attribute,ExtlClntAppOauthSetAttr,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ExtlClntAppOauthSetAttr/Details/view
External Client App OAuth Settings Custom Scope,ExtlClntAppOauthSetCustmScp,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ExtlClntAppOauthSetCustmScp/Details/view
External Client Application OAuth Settings,ExtlClntAppOauthSettings,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ExtlClntAppOauthSettings/Details/view
External Client App Policy Configuration,ExtlClntAppPlcyCnfg,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ExtlClntAppPlcyCnfg/Details/view
External Client Application Sample Policy Configuration,ExtlClntAppSamplePlcyCnfg,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ExtlClntAppSamplePlcyCnfg/Details/view
External Client Application Sample Settings,ExtlClntAppSampleSettings,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ExtlClntAppSampleSettings/Details/view
Feed Attachment,FeedAttachment,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FeedAttachment/Details/view
Feed Comment,FeedComment,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FeedComment/Details/view
Feed Item,FeedItem,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FeedItem/Details/view
Feed Like,FeedLike,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FeedLike/Details/view
Feed Poll Choice,FeedPollChoice,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FeedPollChoice/Details/view
Feed Poll Vote,FeedPollVote,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FeedPollVote/Details/view
Feed Revision,FeedRevision,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FeedRevision/Details/view
Feed Signal,FeedSignal,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FeedSignal/Details/view
Feed Tracked Change,FeedTrackedChange,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FeedTrackedChange/Details/view
Field Definition,FieldDefinition,False,,"Fivetran Data Loader, Sonar",,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FieldDefinition/Details/view
Field Permissions,FieldPermissions,False,,"Sonar, Workbench",,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FieldPermissions/Details/view
